slug,url,title,level,duration,description,project_type,tools,prerequisites,instructors,topics,updated_date,authors
2483,https://app.datacamp.com/learn/projects/2483,Detecting Cybersecurity Threats using Deep Learning,Intermediate,1 hr,"Develop a system that can detect Cyber Attacks in network traffic. Utilizing PyTorch, you will train a neural network model and implement real-time anomaly detection. The goal is to improve network security by identifying and mitigating sophisticated cyber-attacks. testing",,,,"Shreya Vashist, COLLABORATORS",,May 2025,
2504,https://app.datacamp.com/learn/projects/2504,Understanding Search Interest with Google Trends,Intermediate,45 min,"Explore time series data by analyzing and comparing the popularity trends of three prominent AI tools: ChatGPT, Gemini, and Microsoft Copilot. The project involves processing and visualizing the interest over time data to identify patterns, trends, and insights.",,,,"Shreya Vashist, COLLABORATORS",,Dec 2024,
2516,https://app.datacamp.com/learn/projects/2516,Insights into Bicycle Theft using Visualization,Intermediate,1 hr,"In bustling Toronto, bicycles have become a popular eco-friendly transport option, but bike thefts are rising, creating challenges for residents and urban planners. Here, you'll uncover patterns and trends in bike thefts through detailed data analysis using ggplot2.",,,,"Zehao Xu, COLLABORATORS",,Aug 2024,
2531,https://app.datacamp.com/learn/projects/2531,Analyzing Super Bowl Viewership and Advertising,Basic,1 hr,"Whether you like American football or not, the Super Bowl is a spectacle. There's drama in the games, the advertising, and the halftime shows. In this project, you will find out how some of the elements interact with each other.",,,,"Jasmin Ludolf, COLLABORATORS",,Oct 2024,
2557,https://app.datacamp.com/learn/projects/2557,Analyze the Popularity of Programming Languages,Basic,30 min,Discover insights into the most popular programming languages and technologies using data from Stack Overflow. Analyze the number of questions by manipulating the data with dplyr and examine how language popularity changes over time.,,,,"David Robinson, Sara Billen, COLLABORATORS",,Jan 2025,
2559,https://app.datacamp.com/learn/projects/2559,Food Price Forecasting with Functions,Intermediate,1 hr,"Writing functions make your analyses more readable and more repeatable. In this project, you'll analyze food prices in Rwanda, then wrap your code into functions to apply your analysis to other food types. The ability to import, wrangle, manipulate, and forecast data will be useful throughout the project.",,,,"Richie Cotton, COLLABORATORS",,Mar 2025,
2577,https://app.datacamp.com/learn/projects/2577,Extracting TV Data Insights,Basic,45 min,"With intermediate Python skills under your belt, you are ready to analyze and extract meaningful insights from various data sources. In this project, you'll use data manipulation and visualization techniques to explore television data related to American football's biggest event, including game outcomes and viewership statistics.",,,,"Francesca Donadoni, COLLABORATORS",,Sep 2024,
2581,https://app.datacamp.com/learn/projects/2581,Predicting Traffic Volume with PyTorch,Intermediate,1 hr,"Build your own PyTorch powered traffic prediction system! Using your time-series skills and deep learning knowledge, you can predict hourly traffic on interstate highways, considering seasonality and trends. With exploratory data analysis, feature engineering, model training, and evaluation, let's build a system to help you navigate the roads!",,,,"Srishti Mehra, COLLABORATORS",,Nov 2025,
2586,https://app.datacamp.com/learn/projects/2586,Exploring Global Life Expectancy Trends,Intermediate,1 hr,"Analyze global life expectancy data using R and ggplot2 to explore disparities between genders and across countries. You will create visualizations to reveal patterns in life expectancy and investigate changes over time, gaining insights into global health inequalities.",,,,"Shreya Vashist, COLLABORATORS",,Sep 2024,
2588,https://app.datacamp.com/learn/projects/2588,Exploring Trends in American Baby Names,Basic,45 min,"What makes a name timeless or trendy? This project uses over a century of U.S. Social Security data to explore American baby name preferences.

The data manipulation skills you'll use in this project are broadly applicable: understanding changing tastes is a key competency for businesses as well as parents searching for a baby name!",,,,"Izzy Weber, COLLABORATORS",,Oct 2024,
2597,https://app.datacamp.com/learn/projects/2597,Classifying X-Ray Images using PyTorch,Advanced,1 hr,"Accurate and timely diagnosis of pneumonia is essential for effective treatment and patient care. By leveraging deep learning in PyTorch, you will fine-tune a pre-trained convolutional network to classify X-ray images, distinguishing between healthy individuals and those with pneumonia.",,,,"Tomas Miskov, COLLABORATORS",,May 2025,
2599,https://app.datacamp.com/learn/projects/2599,Personalized Language Tutor,Basic,1 hr,"Get ready to enhance your skills with OpenAI’s API by building a Personalized Language Tutor! This project uses OpenAI models for audio transcription, translation, grammar checking, and pronunciation feedback. Users will improve their language proficiency with personalized insights.",,,,"Stephen Jin, COLLABORATORS",,Jan 2026,
2610,https://app.datacamp.com/learn/projects/2610,Analyzing and Formatting PostgreSQL Sales Data,Intermediate,1 hr,"Work with superstore data in PostgreSQL, reformatting and analyzing to answer some day-to-day retail business questions, like what are the top performing products, and how missing data can be imputed for quantity of products per order.",,,,"Anshu Bantra, COLLABORATORS",,Jan 2025,
2623,https://app.datacamp.com/learn/projects/2623,Factors that Fuel Student Performance,Intermediate,30 min,"How can students improve their exam performance? In this intermediate SQL querying project, you will analyze a database containing comprehensive data on various factors influencing student success, such as study habits, sleep patterns, parental involvement, and access to resources.

Through SQL queries, you will investigate which factors have the greatest impact on high exam scores, explore whether students who participate in more extracurricular activities perform better, and ascertain the influence of sleep on academic achievement. By the end, you will have a data-driven understanding of the drivers of student success, enabling you to make informed decisions for academic improvement.",,,,Shahzad Mian,,Oct 2024,
2629,https://app.datacamp.com/learn/projects/2629,Finding Exchange Rates for International Sales,Intermediate,30 min,"In this project you will work with a public API and a CSV file containing online gadget store sales data.

You'll use your API and data manipulation skills to find and use exchange rate information, performing calculations to convert order values into US dollars.",,,,"Chris Ramakers, COLLABORATORS",,Nov 2024,
2631,https://app.datacamp.com/learn/projects/2631,Debugging Code,Basic,30 min,"Debugging code is an essential skill for a data analyst, encompassing reading error messages and handling exceptions. In this project, you will apply your debugging skills to enhance some code used by a company to analyze sales data. You will need to modify the code to handle exceptions caused by missing or incorrect data entries.",,,,"Kalu U. Ogbureke, COLLABORATORS",,Jan 2025,
2706,https://app.datacamp.com/learn/projects/2706,Powering Data for the Department of Energy - Building an ETL Pipeline,Intermediate,1 hr,"You’ve started as a Data Engineer at an energy company, tasked with automating the manual, time-consuming process analysts previously used to retrieve and clean quarterly sales and capability data. Your goal is to build a monthly data pipeline to streamline insights and save time for data consumers.",,,,"Jake Roach, COLLABORATORS",,Feb 2025,
2708,https://app.datacamp.com/learn/projects/2708,Classifying Emails using Llama,Intermediate,1 hr,"Build an intelligent email assistant using Llama's local LLM capabilities. Using prompt engineering and model integration, develop a system to classify emails into predefined categories to help you prioritize tasks and manage your inbox more efficiently.",,,,"Dheeraj Agrawal, COLLABORATORS",,Nov 2025,
2713,https://app.datacamp.com/learn/projects/2713,Insurance Claim Processing with Pinecone,Intermediate,1 hr,"Workplace injuries can happen anywhere, from offices to construction sites. In this project, you'll analyze workers' compensation claims data to uncover patterns, identify similar cases, and help insurers improve workplace safety and claims management using OpenAI embeddings, a Pinecone vector database, and data analytics!",,,,"Richard Ball, COLLABORATORS",,Jan 2025,
2720,https://app.datacamp.com/learn/projects/2720,Build an Educational Quiz Bot with the OpenAI API,Basic,1 hr,"In this project, you'll build an educational quiz bot that uses educational content to generate questions and evaluate user answers. You'll use prompt engineering to guide the OpenAI API in generating relevant questions, tracking them, and validating responses effectively.",,,,"Rohan Kumar Yadav, COLLABORATORS",,Jun 2025,
2755,https://app.datacamp.com/learn/projects/2755,Detecting Anomalous Transactions,Intermediate,1 hr,"Fraud can cost more than money — it can cost trust. Dive into the world of banking transactions to uncover hidden anomalies, flag suspicious activities, and protect customer confidence. Your insights will make an impact by maintaining security and safeguarding trust. Ready to take on the challenge?",,,,"Mike Preble, COLLABORATORS",,Jan 2025,
2764,https://app.datacamp.com/learn/projects/2764,Demystifying AI: Explaining Demand Forecasting Models,Intermediate,1 hr,"Learn how to build and explain AI models that help businesses optimize inventory, marketing, and revenue. Explain next month's total sales for different product categories in an online store.",,,,"Jeff Chen, COLLABORATORS",,Feb 2025,
2767,https://app.datacamp.com/learn/projects/2767,Building Wedding Planning Software,Advanced,2 hr,"Create a Wedding management application, Happea(Happily Ever After). In this project, you will harness the power of Python's OOP inheritance structure to manage weddings and allow invitations to be sent out, manage guest attendance status, and invite plus-ones for special guests.",,,,"Sani Yusuf, COLLABORATORS",,Feb 2025,
2803,https://app.datacamp.com/learn/projects/2803,Reward Modeling for RLHF,Advanced,1 hr,"In this project, you’ll train a reward model to evaluate and rank AI-generated explanations for RLHF. You’ll work with human feedback datasets and train an OpenAI-GPT-based model. This will enable you to assess and improve AI-generated educational responses.",,,,"Alberto Pérez Gant, COLLABORATORS",,Mar 2025,
2825,https://app.datacamp.com/learn/projects/2825,Data-Driven Decisions with A/B Testing,Intermediate,1 hr,"A/B testing is essential for data-driven product decisions.

In this project, you will act as a data scientist at an online travel agency (OTA) testing a new search ranking system aimed at improving conversion. Using Python, you will analyze the A/B test results and decide whether the new system should be rolled out.

This hands-on project will sharpen your skills in experiment evaluation, statistical testing, and making product recommendations grounded in data.",,,,"Rufat Mustafaev, COLLABORATORS",,Apr 2025,
2827,https://app.datacamp.com/learn/projects/2827,Optimize LLMs with Llama Fine-tuning,Intermediate,1 hr,Fine-tune a Llama model to act as a travel chatbot. Train the model to generate both user intents and chatbot responses for realistic travel-related conversations.,,,,"Nikit Bobba, COLLABORATORS",,Jul 2025,
2852,https://app.datacamp.com/learn/projects/2852,Efficient AI with PyTorch,Advanced,30 min,"AI models need to scale efficiently to handle real-world challenges.

In this project, you'll build a distributed training pipeline for image classification using the CIFAR-10 dataset. You'll train a transformer model across multiple devices, compare optimization strategies, and analyze how distributed training improves performance and scalability.",,,,"Don Kaluarachchi, COLLABORATORS",,Apr 2026,
2905,https://app.datacamp.com/learn/projects/2905,Exploring Stock Market Trends with Plotly,Basic,1 hr,Turn raw financial data into powerful insights by building interactive stock charts with Plotly. Develop essential data visualization skills as you analyze market data from fast food giants like McDonald's and Starbucks while creating visualizations that reveal industry trends and investment opportunities.,,,,"Stan Konkin, COLLABORATORS",,Jul 2025,
consolidating_employee_data,https://app.datacamp.com/learn/projects/consolidating_employee_data,Consolidating Employee Data,Intermediate,30 min,"Data comes in different shapes, sizes, and formats. The ability to merge and clean different sources for analysis is a fundamental skill for any data practitioner.

In this project you'll do just that, working with human resources data in CSV, Excel, and JSON format.",,,,"Izzy Weber, COLLABORATORS",,Apr 2024,
exploring-airbnb-market-trends,https://app.datacamp.com/learn/projects/exploring-airbnb-market-trends,Exploring Airbnb Market Trends,Intermediate,1 hr,"New York City has a variety of Airbnb listings to meet the high demand for temporary lodging for travelers, with several different price levels, room types, and locations.

Practice your skills in importing and cleaning data and data manipulation and report insights to a real estate start-up!",Guided,"R, Python",PREREQUISITES (PYTHON),Maham Khan,,Apr 2024,
analyzing_industry_carbon_emissions,https://app.datacamp.com/learn/projects/analyzing_industry_carbon_emissions,Analyzing Industry Carbon Emissions,Basic,30 min,"Product emissions make up more than 75% of global emissions. But which industries are the worst offenders?

Use your SQL skills to investigate!",,,,"George Boorman, COLLABORATORS",,Nov 2024,
analyzing_students_mental_health,https://app.datacamp.com/learn/projects/analyzing_students_mental_health,Analyzing Students' Mental Health,Basic,1 hr,"Studying abroad can be both exciting and difficult. But what might be contributing to this? One Japanese international university decided to find out!

Use your data manipulation skills to explore the data from a study on the mental health of international students, and find out which factors may have the greatest impact.",,,,Jasmin Ludolf,,Apr 2026,
analyzing_online_sports_revenue,https://app.datacamp.com/learn/projects/analyzing_online_sports_revenue,Analyzing Online Sports Revenue,Intermediate,1 hr,"Sports clothing is a booming sector. In this project, you'll use your exploratory data analysis, or EDA, skills to analyze product data for an online sports retail company.

You'll work with various data types to answer their questions about revenue, ratings, and product descriptions, helping to inform how the company can optimize its revenue!",,,,George Boorman,,Dec 2024,
exploring_nyc_public_school_test_result_scores,https://app.datacamp.com/learn/projects/exploring_nyc_public_school_test_result_scores,Exploring NYC Public School Test Result Scores,Basic,30 min,"Every year, school test results impact the college admissions fate of millions of students.

In this project, you will use standardized test performance data from NYC's public schools to identify the schools with top math results, look at how performance varies by borough, and find the city's top ten performing schools!",,,,George Boorman,,Sep 2024,
customer_analytics_preparing_data_for_modeling,https://app.datacamp.com/learn/projects/customer_analytics_preparing_data_for_modeling,Customer Analytics: Preparing Data for Modeling,Intermediate,1 hr,"You've been hired by a major online data science training provider to store their data much more efficiently, so they can create a model that predicts if course enrollees are looking for a job. You'll convert data types, create ordered categories, and filter ordered categorical data so the data is ready for modeling.",Guided,"Python, R",PREREQUISITES (PYTHON),James Chapman,,May 2025,
anayzing-river-thames-water-levels,https://app.datacamp.com/learn/projects/anayzing-river-thames-water-levels,Analyzing River Thames Water Levels,Intermediate,1 hr,"Working with time series data is essential to enable the analysis of trends, patterns, and seasonality in data over time, facilitating forecasting, anomaly detection, and decision-making.

In this project, you'll use your pandas data manipulation skills to analyze time series data tracking the tide levels of the Thames River over many years.",,,,Maham Khan,,Feb 2025,
hypothesis_testing_with_mens_and_womens_soccer_matches,https://app.datacamp.com/learn/projects/hypothesis_testing_with_mens_and_womens_soccer_matches,Hypothesis Testing with Men's and Women's Soccer Matches,Intermediate,1 hr,"Time to begin applying your statistical testing skills to historical data of men's and women's international soccer matches!

You'll work at a major online sports media company specializing in soccer analysis and reporting. You will test the hypothesis to determine if women's international soccer matches result in more goals scored than men's.",Guided,"Python, R",PREREQUISITES (PYTHON),James Chapman,,Feb 2026,
modeling_car_insurance_claim_outcomes,https://app.datacamp.com/learn/projects/modeling_car_insurance_claim_outcomes,Modeling Car Insurance Claim Outcomes,Intermediate,1 hr,"Machine learning is very popular in the insurance market, which has long been renowned for being data-driven.

Working on behalf of On the Road car insurance, you'll investigate their customer data to identify the feature that produces the most accurate logistic regression model for them to predict whether a claim will be made against a policy!",Guided,"R, Python",PREREQUISITES (PYTHON),George Boorman,,Nov 2025,
investigating_netflix,https://app.datacamp.com/learn/projects/investigating_netflix,Investigating Netflix Movies,Basic,1 hr,Explore Netflix movie data and perform exploratory data analysis for a production company to uncover insights about movies from a particular decade.,,,,"Jasmin Ludolf, COLLABORATORS",,Apr 2025,
predicting_temperature_in_london,https://app.datacamp.com/learn/projects/predicting_temperature_in_london,Predicting Temperature in London,Advanced,1 hr,"As the climate changes around the world, the ability to predict changing weather is becoming more and more important.

In this project you will work on predicting the mean temperature in London. You will import, preprocess, and explore historical weather data and automate the training and evaluation of multiple machine learning models. This will be setup in an automated workflow using functions, utilizing methods from sklearn and MLflow.",,,,"Folkert Stijnman, COLLABORATORS",,Jan 2025,
predicting-movie-rental-durations,https://app.datacamp.com/learn/projects/predicting-movie-rental-durations,Predicting Movie Rental Durations,Intermediate,1 hr,Time to put your regression knowledge to the test! A DVD rental company has approached you to make a regression model which will help predict the number of days a customer rents a DVD. The model will hopefully make their inventory planning much more efficient. You decide to help them by running some regression models and recommending the best-performing model to the company.,Guided,"Python, R",PREREQUISITES (R),"Rohan Chatterjee, Francesca Donadoni",,Apr 2024,
exploring_londons_travel_network,https://app.datacamp.com/learn/projects/exploring_londons_travel_network,Exploring London's Travel Network,Basic,30 min,"How do Londoners get around? Transport for London (TfL) is a vast public transport network that allows London's residents to efficiently travel around the UK's capital, to the tune of over 1.5 million journeys per day!

In this introductory project, you will work with a Snowflake, Amazon Redshift, Google BigQuery, or Databricks database containing data on journeys and transport types in London between 2010 and 2022. You will write SQL queries to find the most popular transport methods, examine when the London cable car (which connects London's Royal Docks, where the Mayor's office is located, to Greenwich Peninsula, home of the O2 arena) was particularly busy, and identify rare periods when the Underground (also known as ""the tube"" to locals) was less busy.",Guided,"Snowflake, BigQuery, Redshift, Databricks",,George Boorman,,Jan 2025,
visualizing_the_history_of_nobel_prize_winners,https://app.datacamp.com/learn/projects/visualizing_the_history_of_nobel_prize_winners,Visualizing the History of Nobel Prize Winners,Basic,1 hr,"The Nobel Prize is awarded yearly to scientists and scholars in chemistry, literature, physics, medicine, economics, and peace, with the first prize awarded in 1901. Are there any biases in the way the honors are awarded? Use your data manipulation and visualization skills to explore the history of this coveted prize.",Guided,"Python, R",PREREQUISITES (PYTHON),Jasmin Ludolf,,Mar 2024,
dr_semmelweis,https://app.datacamp.com/learn/projects/dr_semmelweis,Dr. Semmelweis and the Importance of Handwashing,Basic,1 hr,"In 1847, the Hungarian physician Ignaz Semmelweis made a breakthrough discovery: he discovered handwashing and enforced it at his hospital to save hundreds of lives. Perform data analysis to explore the data behind one of the most important discoveries in modern medicine.",Guided,"R, Python",PREREQUISITES (PYTHON),Jasmin Ludolf,,Jul 2024,
analyzing_electric_vehicle_charging_habits,https://app.datacamp.com/learn/projects/analyzing_electric_vehicle_charging_habits,Analyzing Electric Vehicle Charging Habits,Basic,30 min,"As electronic vehicles (EVs) become more popular, there is an increasing need for access to charging stations.

In this introductory project, you will use a dataset containing information on station usage to help apartment building managers better understand their tenants’ EV charging habits.",Guided,"SQL, BigQuery, Redshift, Databricks",,"George Boorman, Alex Kuntz",,Mar 2026,
social_networks_a_twitter_network_analysis,https://app.datacamp.com/learn/projects/social_networks_a_twitter_network_analysis,Social Networks: A Twitter Network Analysis,Intermediate,1 hr,"Analyze Twitter follower data using Python! In this project, you'll build a set of useful functions using Pandas for data handling and NetworkX for graph analysis. Solve real-world problems like identifying influential users and exploring network structures.",,,,"Mike Dane, COLLABORATORS",,Jun 2024,
worlds-oldest-business,https://app.datacamp.com/learn/projects/worlds-oldest-business,Uncovering the World's Oldest Businesses,Intermediate,1 hr,"An essential part of business is planning for the future and ensuring that the business survives changing market conditions.

In this project, you'll explore data from BusinessFinancing.co.uk on the world's oldest businesses. You'll use joining and data manipulation techniques to answer questions about these historic businesses.",Guided,"Python, SQL",PREREQUISITES (SQL),"Richie Cotton, Izzy Weber",,Jul 2024,
