session_name,topic,practice_url,question_number,question,option_1,option_2,option_3
Introduction to Data Visualization with ggplot2,R,https://practice.datacamp.com/p/336,3,Which of the following options would NOT fix overplotting?,Adjusting the size of the data points,Adjusting the color of the data points,Adjusting the transparency of the data points
Complete the code to request XML and handle a 'Not Acceptable' response:,Python,https://app.datacamp.com/learn/practice/p/a030aef6-abe4-48f2-ac45-5710c6f75b26,1,Complete the code to request XML and handle a 'Not Acceptable' response: headers = {'accept': ?,"response = requests.get('http://api.site.com/info', headers=headers) if response.status_code == print('Server cannot respond in XML') 'application/json'",'application/xml',Clear Keyboard Shortcuts List
Complete the code to request XML and handle a 'Not Acceptable' response:,Python,https://app.datacamp.com/learn/practice/p/a030aef6-abe4-48f2-ac45-5710c6f75b26,2,Complete the code to request XML and handle a 'Not Acceptable' response: headers = {'accept': ?,"response = requests.get('http://api.site.com/info', headers=headers) if response.status_code == print('Server cannot respond in XML') 'application/json'",'application/xml',Clear Keyboard Shortcuts List
Complete the code to request XML and handle a 'Not Acceptable' response:,Python,https://app.datacamp.com/learn/practice/p/a030aef6-abe4-48f2-ac45-5710c6f75b26,3,Complete the code to request XML and handle a 'Not Acceptable' response: headers = {'accept': ?,"response = requests.get('http://api.site.com/info', headers=headers) if response.status_code == print('Server cannot respond in XML') 'application/json'",'application/xml',Clear Keyboard Shortcuts List
You'll rank products by stock within each category using grouped nested tables. Start by defining the starting Products table.,Power BI,https://app.datacamp.com/learn/practice/p/b7c26ecd-3f9b-48d1-988d-7335c613147b,1,You'll rank products by stock within each category using grouped nested tables. Start by defining the starting Products table. // Build your code below: let Source = Product let Source = Categories let Source = Products() let Source = Products,You'll rank products by stock within each category using grouped nested tables. Start by defining the starting Products table. // Build your code below: let Source = Product let Source = Categories let Source = Products() let Source = Products,,
You'll rank products by stock within each category using grouped nested tables. Start by defining the starting Products table.,Power BI,https://app.datacamp.com/learn/practice/p/b7c26ecd-3f9b-48d1-988d-7335c613147b,2,You'll rank products by stock within each category using grouped nested tables. Start by defining the starting Products table. // Build your code below: let Source = Product let Source = Categories let Source = Products() let Source = Products,You'll rank products by stock within each category using grouped nested tables. Start by defining the starting Products table. // Build your code below: let Source = Product let Source = Categories let Source = Products() let Source = Products,,
You'll rank products by stock within each category using grouped nested tables. Start by defining the starting Products table.,Power BI,https://app.datacamp.com/learn/practice/p/b7c26ecd-3f9b-48d1-988d-7335c613147b,3,You'll rank products by stock within each category using grouped nested tables. Start by defining the starting Products table. // Build your code below: let Source = Product let Source = Categories let Source = Products() let Source = Products,You'll rank products by stock within each category using grouped nested tables. Start by defining the starting Products table. // Build your code below: let Source = Product let Source = Categories let Source = Products() let Source = Products,,
Report an issue,Theory,https://practice.datacamp.com/p/809,1,Let's Practice Data Storytelling Concepts Get 5 Challenges Correct z No Time Limits Earn XP,Let's Practice Data Storytelling Concepts Get 5 Challenges Correct No Time Limits Earn XP,,
Data Storytelling Concepts,Theory,https://practice.datacamp.com/p/809,2,What is needed to communicate a complex data topic effectively?,Add random stats,Use every file,Extend your script
Data Storytelling Concepts,Theory,https://practice.datacamp.com/p/809,3,What is needed to communicate a complex data topic effectively?,Add random stats,Use every file,Extend your script
Report an issue,R,https://practice.datacamp.com/p/6,1,Let's Practice Intermediate R Get 5 Challenges Correct z No Time Limits Earn XP,Let's Practice Intermediate R Get 5 Challenges Correct No Time Limits Earn XP,,
Intermediate R,R,https://practice.datacamp.com/p/6,2,Convert the vector to a list. Complete the code to return the output ?,"(c(1, 3, 4)) [[1]] [1] 1 [[2]] [1] 3 [[3]] [1] 4 Fill in the blanks unlist",is.list,as.list
Intermediate R,R,https://practice.datacamp.com/p/6,3,Convert the vector to a list. Complete the code to return the output ?,"(c(1, 3, 4)) [[1]] [1] 1 [[2]] [1] 3 [[3]] [1] 4 Fill in the blanks unlist",is.list,as.list
Report an issue,Python,https://practice.datacamp.com/p/590,1,Let's Practice Cleaning Data in Python Get 5 Challenges Correct z No Time Limits Earn XP,Let's Practice Cleaning Data in Python Get 5 Challenges Correct No Time Limits Earn XP,,
Cleaning Data in Python,Python,https://practice.datacamp.com/p/590,2,"The productions DataFrame contains some missing values: title          director                country 33           Squid Game               NaN                    NaN 37          Angry Birds               NaN                Finland 41                 Jaws  Steven Spielberg          United States 127  A Cinderella Story       Mark Rosman  United States, Canada 361             Charmed               NaN          United States Select the code to return the output 41                   Jaws 127    A Cinderella Story 573         Kung Fu Panda Name: title, dtype: object Select the code cleaned = productions.dropna() print(cleaned['title'].head()) cleaned = productions.dropna(subset=['country']) print(cleaned['title'].head()) cleaned = productions.dropna(subset=['director']) print(cleaned['title'].head())","The productions DataFrame contains some missing values: title          director                country 33           Squid Game               NaN                    NaN 37          Angry Birds               NaN                Finland 41                 Jaws  Steven Spielberg          United States 127  A Cinderella Story       Mark Rosman  United States, Canada 361             Charmed               NaN          United States Select the code to return the output 41                   Jaws 127    A Cinderella Story 573         Kung Fu Panda Name: title, dtype: object Select the code cleaned = productions.dropna() print(cleaned['title'].head())",cleaned = productions.dropna(subset=['country']) print(cleaned['title'].head()),cleaned = productions.dropna(subset=['director']) print(cleaned['title'].head())
Cleaning Data in Python,Python,https://practice.datacamp.com/p/590,3,"The productions DataFrame contains some missing values: title          director                country 33           Squid Game               NaN                    NaN 37          Angry Birds               NaN                Finland 41                 Jaws  Steven Spielberg          United States 127  A Cinderella Story       Mark Rosman  United States, Canada 361             Charmed               NaN          United States Select the code to return the output 41                   Jaws 127    A Cinderella Story 573         Kung Fu Panda Name: title, dtype: object Select the code cleaned = productions.dropna() print(cleaned['title'].head()) cleaned = productions.dropna(subset=['country']) print(cleaned['title'].head()) cleaned = productions.dropna(subset=['director']) print(cleaned['title'].head())","The productions DataFrame contains some missing values: title          director                country 33           Squid Game               NaN                    NaN 37          Angry Birds               NaN                Finland 41                 Jaws  Steven Spielberg          United States 127  A Cinderella Story       Mark Rosman  United States, Canada 361             Charmed               NaN          United States Select the code to return the output 41                   Jaws 127    A Cinderella Story 573         Kung Fu Panda Name: title, dtype: object Select the code cleaned = productions.dropna() print(cleaned['title'].head())",cleaned = productions.dropna(subset=['country']) print(cleaned['title'].head()),cleaned = productions.dropna(subset=['director']) print(cleaned['title'].head())
You'll detect late DVD returns using interval arithmetic. Begin by selecting key rental columns and computing the expected return timestamp.,SQL,https://app.datacamp.com/learn/practice/p/6e840c8f-936f-4a85-aad5-586c279a12a6,1,"You'll detect late DVD returns using interval arithmetic. Begin by selecting key rental columns and computing the expected return timestamp. -- Build your code below: SELECT rental_id, rental_date, return_date, INTERVAL '3 days' + return_date AS expected_return_date SELECT rental_id, rental_date, return_date, rental_date + '3 days' AS expected_return_date SELECT rental_id, rental_date, return_date, rental_date + INTERVAL '3 days' AS expected_return_date SELECT rental_id, rental_date, return_date, rental_date + INTERVAL 3 AS expected_return_date","You'll detect late DVD returns using interval arithmetic. Begin by selecting key rental columns and computing the expected return timestamp. -- Build your code below: SELECT rental_id, rental_date, return_date, INTERVAL '3 days' + return_date AS expected_return_date SELECT rental_id, rental_date, return_date, rental_date + '3 days' AS expected_return_date SELECT rental_id, rental_date, return_date, rental_date + INTERVAL '3 days' AS expected_return_date SELECT rental_id, rental_date, return_date, rental_date + INTERVAL 3 AS expected_return_date",,
You'll detect late DVD returns using interval arithmetic. Begin by selecting key rental columns and computing the expected return timestamp.,SQL,https://app.datacamp.com/learn/practice/p/6e840c8f-936f-4a85-aad5-586c279a12a6,2,"You'll detect late DVD returns using interval arithmetic. Begin by selecting key rental columns and computing the expected return timestamp. -- Build your code below: SELECT rental_id, rental_date, return_date, INTERVAL '3 days' + return_date AS expected_return_date SELECT rental_id, rental_date, return_date, rental_date + '3 days' AS expected_return_date SELECT rental_id, rental_date, return_date, rental_date + INTERVAL '3 days' AS expected_return_date SELECT rental_id, rental_date, return_date, rental_date + INTERVAL 3 AS expected_return_date","You'll detect late DVD returns using interval arithmetic. Begin by selecting key rental columns and computing the expected return timestamp. -- Build your code below: SELECT rental_id, rental_date, return_date, INTERVAL '3 days' + return_date AS expected_return_date SELECT rental_id, rental_date, return_date, rental_date + '3 days' AS expected_return_date SELECT rental_id, rental_date, return_date, rental_date + INTERVAL '3 days' AS expected_return_date SELECT rental_id, rental_date, return_date, rental_date + INTERVAL 3 AS expected_return_date",,
You'll detect late DVD returns using interval arithmetic. Begin by selecting key rental columns and computing the expected return timestamp.,SQL,https://app.datacamp.com/learn/practice/p/6e840c8f-936f-4a85-aad5-586c279a12a6,3,"You'll detect late DVD returns using interval arithmetic. Begin by selecting key rental columns and computing the expected return timestamp. -- Build your code below: SELECT rental_id, rental_date, return_date, INTERVAL '3 days' + return_date AS expected_return_date SELECT rental_id, rental_date, return_date, rental_date + '3 days' AS expected_return_date SELECT rental_id, rental_date, return_date, rental_date + INTERVAL '3 days' AS expected_return_date SELECT rental_id, rental_date, return_date, rental_date + INTERVAL 3 AS expected_return_date","You'll detect late DVD returns using interval arithmetic. Begin by selecting key rental columns and computing the expected return timestamp. -- Build your code below: SELECT rental_id, rental_date, return_date, INTERVAL '3 days' + return_date AS expected_return_date SELECT rental_id, rental_date, return_date, rental_date + '3 days' AS expected_return_date SELECT rental_id, rental_date, return_date, rental_date + INTERVAL '3 days' AS expected_return_date SELECT rental_id, rental_date, return_date, rental_date + INTERVAL 3 AS expected_return_date",,
Report an issue,AWS,https://practice.datacamp.com/p/734,1,Let's Practice AWS Concepts Get 5 Challenges Correct z No Time Limits Earn XP,Let's Practice AWS Concepts Get 5 Challenges Correct No Time Limits Earn XP,,
AWS Concepts,AWS,https://practice.datacamp.com/p/734,2,Which of the following is NOT one of the six pillars of the AWS Well-Architected Framework?,Security,Performance Efficiency,Cost Optimization
AWS Concepts,AWS,https://practice.datacamp.com/p/734,3,Which of the following is NOT one of the six pillars of the AWS Well-Architected Framework?,Security,Performance Efficiency,Cost Optimization
Complete the sentence:,Alteryx,https://app.datacamp.com/learn/practice/p/a5359d11-48fd-4cd0-9620-3db8bbf3c4bd,1,Complete the sentence: The ?,"tool in Alteryx Designer is best for viewing the results of your workflow, while the tool is best for reducing your dataset to a manageable size for analysis. Sort Browse Sample Select Clear Keyboard Shortcuts List",,
Complete the sentence:,Alteryx,https://app.datacamp.com/learn/practice/p/a5359d11-48fd-4cd0-9620-3db8bbf3c4bd,2,Complete the sentence: The ?,"tool in Alteryx Designer is best for viewing the results of your workflow, while the tool is best for reducing your dataset to a manageable size for analysis. Sort Browse Sample Select Clear Keyboard Shortcuts List",,
Complete the sentence:,Alteryx,https://app.datacamp.com/learn/practice/p/a5359d11-48fd-4cd0-9620-3db8bbf3c4bd,3,Complete the sentence: The ?,"tool in Alteryx Designer is best for viewing the results of your workflow, while the tool is best for reducing your dataset to a manageable size for analysis. Sort Browse Sample Select Clear Keyboard Shortcuts List",,
Report an issue,Theory,https://practice.datacamp.com/p/808,1,Let's Practice Forming Analytical Questions Get 5 Challenges Correct z No Time Limits Earn XP,Let's Practice Forming Analytical Questions Get 5 Challenges Correct No Time Limits Earn XP,,
Forming Analytical Questions,Theory,https://practice.datacamp.com/p/808,2,A hospital uses historical patient data to predict the likelihood of readmission. What kind of analytics is this?,Predictive,Descriptive,Diagnostic
Forming Analytical Questions,Theory,https://practice.datacamp.com/p/808,3,A hospital uses historical patient data to predict the likelihood of readmission. What kind of analytics is this?,Predictive,Descriptive,Diagnostic
Report an issue,Theory,https://practice.datacamp.com/p/810,1,Let's Practice Introduction to Data Culture Get 5 Challenges Correct z No Time Limits Earn XP,Let's Practice Introduction to Data Culture Get 5 Challenges Correct No Time Limits Earn XP,,
Introduction to Data Culture,Theory,https://practice.datacamp.com/p/810,2,"An executive publicly shares that all strategic decisions should be backed by data, and resources are allocated to support this. Why is this kind of leadership support critical?",It shortens meetings,It cuts software costs,It reduces hiring time
Introduction to Data Culture,Theory,https://practice.datacamp.com/p/810,3,"An executive publicly shares that all strategic decisions should be backed by data, and resources are allocated to support this. Why is this kind of leadership support critical?",It shortens meetings,It cuts software costs,It reduces hiring time
Report an issue,Docker,https://practice.datacamp.com/p/668,1,Let's Practice Introduction to Docker Get 5 Challenges Correct z No Time Limits Earn XP,Let's Practice Introduction to Docker Get 5 Challenges Correct No Time Limits Earn XP,,
Introduction to Docker,Docker,https://practice.datacamp.com/p/668,2,What are the benefits of using a container?,"Reproducibility, portability, security, speed","Isolation, portability, speed","Reproducibility, portability, speed"
Introduction to Docker,Docker,https://practice.datacamp.com/p/668,3,What are the benefits of using a container?,"Reproducibility, portability, security, speed","Isolation, portability, speed","Reproducibility, portability, speed"
Which of the following is NOT a primary pillar of AI value for businesses?,Theory,https://app.datacamp.com/learn/practice/p/7ae74687-1ab3-41ae-8e74-3a9d6551e72b,1,Which of the following is NOT a primary pillar of AI value for businesses?,Skilling Profit Efficiency Creativity Keyboard Shortcuts List,,
Which of the following is NOT a primary pillar of AI value for businesses?,Theory,https://app.datacamp.com/learn/practice/p/7ae74687-1ab3-41ae-8e74-3a9d6551e72b,2,Which of the following is NOT a primary pillar of AI value for businesses?,Skilling Profit Efficiency Creativity Keyboard Shortcuts List,,
Which of the following is NOT a primary pillar of AI value for businesses?,Theory,https://app.datacamp.com/learn/practice/p/7ae74687-1ab3-41ae-8e74-3a9d6551e72b,3,Which of the following is NOT a primary pillar of AI value for businesses?,Skilling Profit Efficiency Creativity Keyboard Shortcuts List,,
You'll compute an MSE loss for a GRU-based forecaster. Start by importing PyTorch modules you'll need.,PyTorch,https://app.datacamp.com/learn/practice/p/ea595d8e-5082-4429-8062-360e849c8947,1,You'll compute an MSE loss for a GRU-based forecaster. Start by importing PyTorch modules you'll need. # Build your code below: import torch import torch.nn.functional as nn import torch.nn as nn import torch.optim as optim import torch import torch.nn as nn import numpy as torch import torch.nn as nn,You'll compute an MSE loss for a GRU-based forecaster. Start by importing PyTorch modules you'll need. # Build your code below: import torch import torch.nn.functional as nn import torch.nn as nn import torch.optim as optim import torch import torch.nn as nn import numpy as torch import torch.nn as nn,,
You'll compute an MSE loss for a GRU-based forecaster. Start by importing PyTorch modules you'll need.,PyTorch,https://app.datacamp.com/learn/practice/p/ea595d8e-5082-4429-8062-360e849c8947,2,You'll compute an MSE loss for a GRU-based forecaster. Start by importing PyTorch modules you'll need. # Build your code below: import torch import torch.nn.functional as nn import torch.nn as nn import torch.optim as optim import torch import torch.nn as nn import numpy as torch import torch.nn as nn,You'll compute an MSE loss for a GRU-based forecaster. Start by importing PyTorch modules you'll need. # Build your code below: import torch import torch.nn.functional as nn import torch.nn as nn import torch.optim as optim import torch import torch.nn as nn import numpy as torch import torch.nn as nn,,
You'll compute an MSE loss for a GRU-based forecaster. Start by importing PyTorch modules you'll need.,PyTorch,https://app.datacamp.com/learn/practice/p/ea595d8e-5082-4429-8062-360e849c8947,3,You'll compute an MSE loss for a GRU-based forecaster. Start by importing PyTorch modules you'll need. # Build your code below: import torch import torch.nn.functional as nn import torch.nn as nn import torch.optim as optim import torch import torch.nn as nn import numpy as torch import torch.nn as nn,You'll compute an MSE loss for a GRU-based forecaster. Start by importing PyTorch modules you'll need. # Build your code below: import torch import torch.nn.functional as nn import torch.nn as nn import torch.optim as optim import torch import torch.nn as nn import numpy as torch import torch.nn as nn,,
Report an issue,Python,https://practice.datacamp.com/p/134,1,Let's Practice Introduction to Python for Finance Get 5 Challenges Correct z No Time Limits Earn XP,Let's Practice Introduction to Python for Finance Get 5 Challenges Correct No Time Limits Earn XP,,
Introduction to Python for Finance,Python,https://practice.datacamp.com/p/134,2,What is the output of this code?,"# Assign our list nums = [1,2,3,4,5,6,7,8,9,10,11,12] # Print stepped results print(nums[0:10:3]) Select the output [1, 4, 7, 10]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[1, 3, 5, 7, 9]"
Introduction to Python for Finance,Python,https://practice.datacamp.com/p/134,3,What is the output of this code?,"# Assign our list nums = [1,2,3,4,5,6,7,8,9,10,11,12] # Print stepped results print(nums[0:10:3]) Select the output [1, 4, 7, 10]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[1, 3, 5, 7, 9]"
Report an issue,R,https://practice.datacamp.com/p/562,1,Let's Practice Data Manipulation with dplyr Get 5 Challenges Correct z No Time Limits Earn XP,Let's Practice Data Manipulation with dplyr Get 5 Challenges Correct No Time Limits Earn XP,,
Data Manipulation with dplyr,R,https://practice.datacamp.com/p/562,2,The population dataset contains population data for countries across a number of years. What is the correct way of adding a column year_total_pop that contains the total population accounted for in the dataset each year?,"country      year pop_in_millions <chr>       <dbl>           <dbl> 1 Afghanistan  2002            18.7 2 Afghanistan  2003            19.5 3 Afghanistan  2004            20.2 Complete the code to return the output population %>% ) %>% (year_total_pop = ) %>% arrange(year) # A tibble: 3,814 x 4 # Groups:   year [20] country              year pop_in_millions year_total_pop <chr>               <dbl>           <dbl>          <dbl> 1 Albania              2000           3.09           3672. 2 Algeria              2000          30.5            3672. 3 Angola               2000          17.1            3672. 4 Antigua and Barbuda  2000           0.076          3672. 5 Argentina            2000          36.8            3672. 6 Armenia              2000           3.08           3672. 7 Aruba                2000           0.091          3672. 8 Australia            2000          19.1            3672. 9 Austria              2000           8.01           3672. 10 Azerbaijan           2000           8.03           3672. # ... with 3,804 more rows Fill in the blanks year",summarize,group_by
Data Manipulation with dplyr,R,https://practice.datacamp.com/p/562,3,The population dataset contains population data for countries across a number of years. What is the correct way of adding a column year_total_pop that contains the total population accounted for in the dataset each year?,"country      year pop_in_millions <chr>       <dbl>           <dbl> 1 Afghanistan  2002            18.7 2 Afghanistan  2003            19.5 3 Afghanistan  2004            20.2 Complete the code to return the output population %>% ) %>% (year_total_pop = ) %>% arrange(year) # A tibble: 3,814 x 4 # Groups:   year [20] country              year pop_in_millions year_total_pop <chr>               <dbl>           <dbl>          <dbl> 1 Albania              2000           3.09           3672. 2 Algeria              2000          30.5            3672. 3 Angola               2000          17.1            3672. 4 Antigua and Barbuda  2000           0.076          3672. 5 Argentina            2000          36.8            3672. 6 Armenia              2000           3.08           3672. 7 Aruba                2000           0.091          3672. 8 Australia            2000          19.1            3672. 9 Austria              2000           8.01           3672. 10 Azerbaijan           2000           8.03           3672. # ... with 3,804 more rows Fill in the blanks year",summarize,group_by
You’re building a single-slide narrative for stakeholders about the profit decline.,Theory,https://app.datacamp.com/learn/practice/p/710b428e-3880-48b6-8597-e5351d126778,1,"You’re building a single-slide narrative for stakeholders about the profit decline. You have these candidate points: Total profit decreased for three consecutive quarters. Chips sales increased 20%. Sweet item sales declined 30%. The most popular chocolate product’s sales decreased 50%. If no decision is made, the company will lose $10M next year. “Here is a full dump of every SKU’s weekly sales for the last 2 years.” You want one supporting-evidence section that is strong but not overloaded. Which option is the best supporting-evidence set (excluding background, climax, and raw data dumps)?","Total profit decreased for three consecutive quarters; provide a full dump of every SKU’s weekly sales for the last 2 years Include every point (1 through 6) so nothing is missed Chips sales increased 20%; sweet item sales declined 30%; the most popular chocolate product’s sales decreased 50% If no decision is made, the company will lose $10M next year; recommend rebranding and discounts to fix it Keyboard Shortcuts List",,
You’re building a single-slide narrative for stakeholders about the profit decline.,Theory,https://app.datacamp.com/learn/practice/p/710b428e-3880-48b6-8597-e5351d126778,2,"You’re building a single-slide narrative for stakeholders about the profit decline. You have these candidate points: Total profit decreased for three consecutive quarters. Chips sales increased 20%. Sweet item sales declined 30%. The most popular chocolate product’s sales decreased 50%. If no decision is made, the company will lose $10M next year. “Here is a full dump of every SKU’s weekly sales for the last 2 years.” You want one supporting-evidence section that is strong but not overloaded. Which option is the best supporting-evidence set (excluding background, climax, and raw data dumps)?","Total profit decreased for three consecutive quarters; provide a full dump of every SKU’s weekly sales for the last 2 years Include every point (1 through 6) so nothing is missed Chips sales increased 20%; sweet item sales declined 30%; the most popular chocolate product’s sales decreased 50% If no decision is made, the company will lose $10M next year; recommend rebranding and discounts to fix it Keyboard Shortcuts List",,
You’re building a single-slide narrative for stakeholders about the profit decline.,Theory,https://app.datacamp.com/learn/practice/p/710b428e-3880-48b6-8597-e5351d126778,3,"You’re building a single-slide narrative for stakeholders about the profit decline. You have these candidate points: Total profit decreased for three consecutive quarters. Chips sales increased 20%. Sweet item sales declined 30%. The most popular chocolate product’s sales decreased 50%. If no decision is made, the company will lose $10M next year. “Here is a full dump of every SKU’s weekly sales for the last 2 years.” You want one supporting-evidence section that is strong but not overloaded. Which option is the best supporting-evidence set (excluding background, climax, and raw data dumps)?","Total profit decreased for three consecutive quarters; provide a full dump of every SKU’s weekly sales for the last 2 years Include every point (1 through 6) so nothing is missed Chips sales increased 20%; sweet item sales declined 30%; the most popular chocolate product’s sales decreased 50% If no decision is made, the company will lose $10M next year; recommend rebranding and discounts to fix it Keyboard Shortcuts List",,
You'll demonstrate inheritance and isinstance with a tiny counter. Start by defining a Counter class whose constructor creates a count attribute.,Python,https://app.datacamp.com/learn/practice/p/474ade9b-1ab2-4964-bd7a-b5858b30baeb,1,"You'll demonstrate inheritance and isinstance with a tiny counter. Start by defining a Counter class whose constructor creates a count attribute. # Build your code below: class Counter: def __init__(self, count): self.count = count class Counter: def __init__(self): count = 0 class Counter: def __init__(self): self.count = 0 class Counter: def __init__(): self.count = 0","You'll demonstrate inheritance and isinstance with a tiny counter. Start by defining a Counter class whose constructor creates a count attribute. # Build your code below: class Counter: def __init__(self, count): self.count = count class Counter: def __init__(self): count = 0 class Counter: def __init__(self): self.count = 0 class Counter: def __init__(): self.count = 0",,
You'll demonstrate inheritance and isinstance with a tiny counter. Start by defining a Counter class whose constructor creates a count attribute.,Python,https://app.datacamp.com/learn/practice/p/474ade9b-1ab2-4964-bd7a-b5858b30baeb,2,"You'll demonstrate inheritance and isinstance with a tiny counter. Start by defining a Counter class whose constructor creates a count attribute. # Build your code below: class Counter: def __init__(self, count): self.count = count class Counter: def __init__(self): count = 0 class Counter: def __init__(self): self.count = 0 class Counter: def __init__(): self.count = 0","You'll demonstrate inheritance and isinstance with a tiny counter. Start by defining a Counter class whose constructor creates a count attribute. # Build your code below: class Counter: def __init__(self, count): self.count = count class Counter: def __init__(self): count = 0 class Counter: def __init__(self): self.count = 0 class Counter: def __init__(): self.count = 0",,
You'll demonstrate inheritance and isinstance with a tiny counter. Start by defining a Counter class whose constructor creates a count attribute.,Python,https://app.datacamp.com/learn/practice/p/474ade9b-1ab2-4964-bd7a-b5858b30baeb,3,"You'll demonstrate inheritance and isinstance with a tiny counter. Start by defining a Counter class whose constructor creates a count attribute. # Build your code below: class Counter: def __init__(self, count): self.count = count class Counter: def __init__(self): count = 0 class Counter: def __init__(self): self.count = 0 class Counter: def __init__(): self.count = 0","You'll demonstrate inheritance and isinstance with a tiny counter. Start by defining a Counter class whose constructor creates a count attribute. # Build your code below: class Counter: def __init__(self, count): self.count = count class Counter: def __init__(self): count = 0 class Counter: def __init__(self): self.count = 0 class Counter: def __init__(): self.count = 0",,
"Review the function. It should correctly bubble sort nums ascending, and it should avoid re-checking the already-sorted tail by shrinking the inner-loop range each pass. Decide if the code meets the intended behavior.",Python,https://app.datacamp.com/learn/practice/p/41433a75-4a26-4962-a2f3-daca1381b40a,1,"Review the function. It should correctly bubble sort nums ascending, and it should avoid re-checking the already-sorted tail by shrinking the inner-loop range each pass. Decide if the code meets the intended behavior. sorts.py def bubble_sort(nums): n = len(nums) for i in range(n): for j in range(0, n - 1): if nums[j] > nums[j + 1]: nums[j], nums[j + 1] = nums[j + 1], nums[j] return nums","Review the function. It should correctly bubble sort nums ascending, and it should avoid re-checking the already-sorted tail by shrinking the inner-loop range each pass. Decide if the code meets the intended behavior. sorts.py def bubble_sort(nums): n = len(nums) for i in range(n): for j in range(0, n - 1): if nums[j] > nums[j + 1]: nums[j], nums[j + 1] = nums[j + 1], nums[j] return nums",,
"Review the function. It should correctly bubble sort nums ascending, and it should avoid re-checking the already-sorted tail by shrinking the inner-loop range each pass. Decide if the code meets the intended behavior.",Python,https://app.datacamp.com/learn/practice/p/41433a75-4a26-4962-a2f3-daca1381b40a,2,"Review the function. It should correctly bubble sort nums ascending, and it should avoid re-checking the already-sorted tail by shrinking the inner-loop range each pass. Decide if the code meets the intended behavior. sorts.py def bubble_sort(nums): n = len(nums) for i in range(n): for j in range(0, n - 1): if nums[j] > nums[j + 1]: nums[j], nums[j + 1] = nums[j + 1], nums[j] return nums","Review the function. It should correctly bubble sort nums ascending, and it should avoid re-checking the already-sorted tail by shrinking the inner-loop range each pass. Decide if the code meets the intended behavior. sorts.py def bubble_sort(nums): n = len(nums) for i in range(n): for j in range(0, n - 1): if nums[j] > nums[j + 1]: nums[j], nums[j + 1] = nums[j + 1], nums[j] return nums",,
"Review the function. It should correctly bubble sort nums ascending, and it should avoid re-checking the already-sorted tail by shrinking the inner-loop range each pass. Decide if the code meets the intended behavior.",Python,https://app.datacamp.com/learn/practice/p/41433a75-4a26-4962-a2f3-daca1381b40a,3,"Review the function. It should correctly bubble sort nums ascending, and it should avoid re-checking the already-sorted tail by shrinking the inner-loop range each pass. Decide if the code meets the intended behavior. sorts.py def bubble_sort(nums): n = len(nums) for i in range(n): for j in range(0, n - 1): if nums[j] > nums[j + 1]: nums[j], nums[j + 1] = nums[j + 1], nums[j] return nums","Review the function. It should correctly bubble sort nums ascending, and it should avoid re-checking the already-sorted tail by shrinking the inner-loop range each pass. Decide if the code meets the intended behavior. sorts.py def bubble_sort(nums): n = len(nums) for i in range(n): for j in range(0, n - 1): if nums[j] > nums[j + 1]: nums[j], nums[j + 1] = nums[j + 1], nums[j] return nums",,
Choose the correct words: Data warehouses are valuable because they enable,Theory,https://app.datacamp.com/learn/practice/p/a09bfbf9-c4ad-4bb4-81b8-61f39b5ad504,1,Choose the correct words: Data warehouses are valuable because they enable ?,to use integrated data for analysis analysts encryption backup Clear Keyboard Shortcuts List,,
Choose the correct words: Data warehouses are valuable because they enable,Theory,https://app.datacamp.com/learn/practice/p/a09bfbf9-c4ad-4bb4-81b8-61f39b5ad504,2,Choose the correct words: Data warehouses are valuable because they enable ?,to use integrated data for analysis analysts encryption backup Clear Keyboard Shortcuts List,,
Choose the correct words: Data warehouses are valuable because they enable,Theory,https://app.datacamp.com/learn/practice/p/a09bfbf9-c4ad-4bb4-81b8-61f39b5ad504,3,Choose the correct words: Data warehouses are valuable because they enable ?,to use integrated data for analysis analysts encryption backup Clear Keyboard Shortcuts List,,
Complete the command to execute all models in your dbt project:,dbt,https://app.datacamp.com/learn/practice/p/7da35c26-e452-41f5-b798-355d37c58666,1,Complete the command to execute all models in your dbt project: $ dbt ?,run clean init test Clear Keyboard Shortcuts List,,
Complete the command to execute all models in your dbt project:,dbt,https://app.datacamp.com/learn/practice/p/7da35c26-e452-41f5-b798-355d37c58666,2,Complete the command to execute all models in your dbt project: $ dbt ?,run clean init test Clear Keyboard Shortcuts List,,
Complete the command to execute all models in your dbt project:,dbt,https://app.datacamp.com/learn/practice/p/7da35c26-e452-41f5-b798-355d37c58666,3,Complete the command to execute all models in your dbt project: $ dbt ?,run clean init test Clear Keyboard Shortcuts List,,
Fill in the blanks to convert the column order_id from string to integer using the double colon operator:,Snowflake,https://app.datacamp.com/learn/practice/p/4e01672a-a639-4b67-8f0c-15bb0f00b2c8,1,Fill in the blanks to convert the column order_id from string to integer using the double colon operator: SELECT order_id ?,FROM orders; ::INT ::DATE ::BOOLEAN ::VARCHAR Clear Keyboard Shortcuts List,,
Fill in the blanks to convert the column order_id from string to integer using the double colon operator:,Snowflake,https://app.datacamp.com/learn/practice/p/4e01672a-a639-4b67-8f0c-15bb0f00b2c8,2,Fill in the blanks to convert the column order_id from string to integer using the double colon operator: SELECT order_id ?,FROM orders; ::INT ::DATE ::BOOLEAN ::VARCHAR Clear Keyboard Shortcuts List,,
